superfamily,locus,gene model confidence,inferred-by-rule,classification
ABI3/VP1,TraesCS1D02G324900,high,f,TF
ABI3/VP1,TraesCS1D02G395000,high,f,TF
ABI3/VP1,TraesCS2A02G402100,high,f,TF
ABI3/VP1,TraesCS2A02G554300,high,f,TF
ABI3/VP1,TraesCS2B02G185600,high,f,TF
ABI3/VP1,TraesCS2D02G167000,high,f,TF
ABI3/VP1,TraesCS2D02G167100,high,f,TF
ABI3/VP1,TraesCS3D02G238900,high,f,TF
ABI3/VP1,TraesCS4A02G429600,high,f,TF
ABI3/VP1,TraesCS4A02G489500,high,f,TF
ABI3/VP1,TraesCS4B02G164700,high,f,TF
ABI3/VP1,TraesCS4B02G243800,high,f,TF
ABI3/VP1,TraesCS5A02G095700,high,f,TF
ABI3/VP1,TraesCS5A02G104300,high,f,TF
ABI3/VP1,TraesCS5A02G298100,high,f,TF
ABI3/VP1,TraesCS5B02G297100,high,f,TF
ABI3/VP1,TraesCS5B02G514700,high,f,TF
ABI3/VP1,TraesCS5D02G207700,high,f,TF
ABI3/VP1,TraesCS5D02G304900,high,f,TF
ABI3/VP1,TraesCS5D02G496200,high,f,TF
ABI3/VP1,TraesCS6A02G217800,high,f,TF
ABI3/VP1,TraesCS6A02G295700,high,f,TF
ABI3/VP1,TraesCS6B02G094300,high,f,TF
ABI3/VP1,TraesCS7B02G406600,high,f,TF
ABI3/VP1,TraesCS7B02G467900,high,f,TF
ABI3/VP1,TraesCS1A02G075800,high,t,TF
ABI3/VP1,TraesCS1A02G200500,high,t,TF
ABI3/VP1,TraesCS1A02G219300,high,t,TF
ABI3/VP1,TraesCS1A02G252100,high,t,TF
ABI3/VP1,TraesCS1A02G302700,high,t,TF
ABI3/VP1,TraesCS1A02G399700,high,t,TF
ABI3/VP1,TraesCS1B02G144100,high,t,TF
ABI3/VP1,TraesCS1B02G215000,high,t,TF
ABI3/VP1,TraesCS1B02G308800,high,t,TF
ABI3/VP1,TraesCS1B02G312900,high,t,TF
ABI3/VP1,TraesCS1B02G395700,high,t,TF
ABI3/VP1,TraesCS1B02G427800,high,t,TF
ABI3/VP1,TraesCS1D02G078100,high,t,TF
ABI3/VP1,TraesCS1D02G128600,high,t,TF
ABI3/VP1,TraesCS1D02G203900,high,t,TF
ABI3/VP1,TraesCS1D02G292200,high,t,TF
ABI3/VP1,TraesCS1D02G302100,high,t,TF
ABI3/VP1,TraesCS1D02G407400,high,t,TF
ABI3/VP1,TraesCS2A02G009100,high,t,TF
ABI3/VP1,TraesCS2A02G077500,high,t,TF
ABI3/VP1,TraesCS2A02G105600,high,t,TF
ABI3/VP1,TraesCS2A02G144100,high,t,TF
ABI3/VP1,TraesCS2A02G153200,high,t,TF
ABI3/VP1,TraesCS2A02G159800,high,t,TF
ABI3/VP1,TraesCS2A02G204300,high,t,TF
ABI3/VP1,TraesCS2A02G283200,high,t,TF
ABI3/VP1,TraesCS2A02G394700,high,t,TF
ABI3/VP1,TraesCS2A02G460700,high,t,TF
ABI3/VP1,TraesCS2A02G465700,high,t,TF
ABI3/VP1,TraesCS2A02G474400,high,t,TF
ABI3/VP1,TraesCS2B02G083200,high,t,TF
ABI3/VP1,TraesCS2B02G122500,high,t,TF
ABI3/VP1,TraesCS2B02G168900,high,t,TF
ABI3/VP1,TraesCS2B02G178300,high,t,TF
ABI3/VP1,TraesCS2B02G185400,high,t,TF
ABI3/VP1,TraesCS2B02G185500,high,t,TF
ABI3/VP1,TraesCS2B02G231800,high,t,TF
ABI3/VP1,TraesCS2B02G412700,high,t,TF
ABI3/VP1,TraesCS2B02G482400,high,t,TF
ABI3/VP1,TraesCS2B02G487800,high,t,TF
ABI3/VP1,TraesCS2B02G497900,high,t,TF
ABI3/VP1,TraesCS2B02G498000,high,t,TF
ABI3/VP1,TraesCS2B02G589800,high,t,TF
ABI3/VP1,TraesCS2D02G105300,high,t,TF
ABI3/VP1,TraesCS2D02G148000,high,t,TF
ABI3/VP1,TraesCS2D02G158500,high,t,TF
ABI3/VP1,TraesCS2D02G211600,high,t,TF
ABI3/VP1,TraesCS2D02G281900,high,t,TF
ABI3/VP1,TraesCS2D02G392400,high,t,TF
ABI3/VP1,TraesCS2D02G460900,high,t,TF
ABI3/VP1,TraesCS2D02G466100,high,t,TF
ABI3/VP1,TraesCS2D02G474100,high,t,TF
ABI3/VP1,TraesCS2D02G560000,high,t,TF
ABI3/VP1,TraesCS3A02G005300,high,t,TF
ABI3/VP1,TraesCS3A02G157500,high,t,TF
ABI3/VP1,TraesCS3A02G249100,high,t,TF
ABI3/VP1,TraesCS3A02G284300,high,t,TF
ABI3/VP1,TraesCS3A02G285500,high,t,TF
ABI3/VP1,TraesCS3A02G285800,high,t,TF
ABI3/VP1,TraesCS3A02G310500,high,t,TF
ABI3/VP1,TraesCS3A02G310600,high,t,TF
ABI3/VP1,TraesCS3A02G405100,high,t,TF
ABI3/VP1,TraesCS3A02G417300,high,t,TF
ABI3/VP1,TraesCS3A02G462000,high,t,TF
ABI3/VP1,TraesCS3A02G462100,high,t,TF
ABI3/VP1,TraesCS3A02G483200,high,t,TF
ABI3/VP1,TraesCS3A02G483400,high,t,TF
ABI3/VP1,TraesCS3A02G483500,high,t,TF
ABI3/VP1,TraesCS3A02G533900,high,t,TF
ABI3/VP1,TraesCS3B02G065000,high,t,TF
ABI3/VP1,TraesCS3B02G153600,high,t,TF
ABI3/VP1,TraesCS3B02G184200,high,t,TF
ABI3/VP1,TraesCS3B02G278000,high,t,TF
ABI3/VP1,TraesCS3B02G319400,high,t,TF
ABI3/VP1,TraesCS3B02G320100,high,t,TF
ABI3/VP1,TraesCS3B02G348400,high,t,TF
ABI3/VP1,TraesCS3B02G438800,high,t,TF
ABI3/VP1,TraesCS3B02G452200,high,t,TF
ABI3/VP1,TraesCS3B02G504800,high,t,TF
ABI3/VP1,TraesCS3B02G504900,high,t,TF
ABI3/VP1,TraesCS3B02G505100,high,t,TF
ABI3/VP1,TraesCS3B02G530100,high,t,TF
ABI3/VP1,TraesCS3B02G530200,high,t,TF
ABI3/VP1,TraesCS3B02G530300,high,t,TF
ABI3/VP1,TraesCS3B02G550700,high,t,TF
ABI3/VP1,TraesCS3B02G579000,high,t,TF
ABI3/VP1,TraesCS3B02G610700,high,t,TF
ABI3/VP1,TraesCS3D02G136400,high,t,TF
ABI3/VP1,TraesCS3D02G136500,high,t,TF
ABI3/VP1,TraesCS3D02G165100,high,t,TF
ABI3/VP1,TraesCS3D02G249100,high,t,TF
ABI3/VP1,TraesCS3D02G285300,high,t,TF
ABI3/VP1,TraesCS3D02G285600,high,t,TF
ABI3/VP1,TraesCS3D02G384400,high,t,TF
ABI3/VP1,TraesCS3D02G400500,high,t,TF
ABI3/VP1,TraesCS3D02G412800,high,t,TF
ABI3/VP1,TraesCS3D02G455700,high,t,TF
ABI3/VP1,TraesCS3D02G455800,high,t,TF
ABI3/VP1,TraesCS3D02G478100,high,t,TF
ABI3/VP1,TraesCS3D02G478600,high,t,TF
ABI3/VP1,TraesCS3D02G478700,high,t,TF
ABI3/VP1,TraesCS3D02G504400,high,t,TF
ABI3/VP1,TraesCS3D02G539200,high,t,TF
ABI3/VP1,TraesCS4A02G003900,high,t,TF
ABI3/VP1,TraesCS4A02G053000,high,t,TF
ABI3/VP1,TraesCS4A02G055500,high,t,TF
ABI3/VP1,TraesCS4A02G055700,high,t,TF
ABI3/VP1,TraesCS4A02G170200,high,t,TF
ABI3/VP1,TraesCS4A02G198300,high,t,TF
ABI3/VP1,TraesCS4A02G201100,high,t,TF
ABI3/VP1,TraesCS4A02G214700,high,t,TF
ABI3/VP1,TraesCS4A02G222500,high,t,TF
ABI3/VP1,TraesCS4A02G225600,high,t,TF
ABI3/VP1,TraesCS4A02G233700,high,t,TF
ABI3/VP1,TraesCS4A02G233800,high,t,TF
ABI3/VP1,TraesCS4A02G233900,high,t,TF
ABI3/VP1,TraesCS4A02G241300,high,t,TF
ABI3/VP1,TraesCS4A02G241500,high,t,TF
ABI3/VP1,TraesCS4A02G241900,high,t,TF
ABI3/VP1,TraesCS4A02G242000,high,t,TF
ABI3/VP1,TraesCS4A02G242300,high,t,TF
ABI3/VP1,TraesCS4A02G242400,high,t,TF
ABI3/VP1,TraesCS4A02G283000,high,t,TF
ABI3/VP1,TraesCS4A02G313800,high,t,TF
ABI3/VP1,TraesCS4A02G357500,high,t,TF
ABI3/VP1,TraesCS4A02G357600,high,t,TF
ABI3/VP1,TraesCS4A02G357900,high,t,TF
ABI3/VP1,TraesCS4A02G358000,high,t,TF
ABI3/VP1,TraesCS4A02G363200,high,t,TF
ABI3/VP1,TraesCS4A02G386800,high,t,TF
ABI3/VP1,TraesCS4A02G426200,high,t,TF
ABI3/VP1,TraesCS4A02G457200,high,t,TF
ABI3/VP1,TraesCS4A02G458500,high,t,TF
ABI3/VP1,TraesCS4A02G464900,high,t,TF
ABI3/VP1,TraesCS4A02G472700,high,t,TF
ABI3/VP1,TraesCS4A02G495200,high,t,TF
ABI3/VP1,TraesCS4B02G030300,high,t,TF
ABI3/VP1,TraesCS4B02G072700,high,t,TF
ABI3/VP1,TraesCS4B02G072800,high,t,TF
ABI3/VP1,TraesCS4B02G072900,high,t,TF
ABI3/VP1,TraesCS4B02G073100,high,t,TF
ABI3/VP1,TraesCS4B02G073200,high,t,TF
ABI3/VP1,TraesCS4B02G073400,high,t,TF
ABI3/VP1,TraesCS4B02G073600,high,t,TF
ABI3/VP1,TraesCS4B02G081600,high,t,TF
ABI3/VP1,TraesCS4B02G081700,high,t,TF
ABI3/VP1,TraesCS4B02G081800,high,t,TF
ABI3/VP1,TraesCS4B02G081900,high,t,TF
ABI3/VP1,TraesCS4B02G094000,high,t,TF
ABI3/VP1,TraesCS4B02G101400,high,t,TF
ABI3/VP1,TraesCS4B02G117100,high,t,TF
ABI3/VP1,TraesCS4B02G164600,high,t,TF
ABI3/VP1,TraesCS4B02G249100,high,t,TF
ABI3/VP1,TraesCS4B02G251500,high,t,TF
ABI3/VP1,TraesCS4B02G301400,high,t,TF
ABI3/VP1,TraesCS4B02G348500,high,t,TF
ABI3/VP1,TraesCS4B02G352600,high,t,TF
ABI3/VP1,TraesCS4D02G027700,high,t,TF
ABI3/VP1,TraesCS4D02G071500,high,t,TF
ABI3/VP1,TraesCS4D02G071600,high,t,TF
ABI3/VP1,TraesCS4D02G071700,high,t,TF
ABI3/VP1,TraesCS4D02G071900,high,t,TF
ABI3/VP1,TraesCS4D02G072200,high,t,TF
ABI3/VP1,TraesCS4D02G080200,high,t,TF
ABI3/VP1,TraesCS4D02G080400,high,t,TF
ABI3/VP1,TraesCS4D02G080500,high,t,TF
ABI3/VP1,TraesCS4D02G090800,high,t,TF
ABI3/VP1,TraesCS4D02G098100,high,t,TF
ABI3/VP1,TraesCS4D02G114900,high,t,TF
ABI3/VP1,TraesCS4D02G158600,high,t,TF
ABI3/VP1,TraesCS4D02G249200,high,t,TF
ABI3/VP1,TraesCS4D02G249400,high,t,TF
